Trade ID,Date,Entry,Exit,Size,Stop Loss,Take Profit,PnL,Trade Result,R:R,Duration (mins),Exit Type,Direction,Risk %,RoR,Stop Distance,Event Type,Candle Count,Session,Symbol 1,Month,Day,Initial Balance,Account,Cumulative Equity,Entry Time,Absolute Daily PnL,Error,Profit Value,Loss Value,Duration (hrs),Peak Value,Multiplier,"Trade Model ",Trade Plan,"Market Conditions ",Psychological Factors	,Drawdown,Time Frame,Current Balance,Tag,Trade Plan Screenshot,Bias,Planned Entry,Planned SL,Planned TP,Planned RRR,Pre-Market Notes,Pre-Market Emotions,HTF Key Level Focus,Market Sentiment,Compliance Check,Events,Event Release Time,Market Reaction on News Release,Loss Indicator,Win Indicator,Ref: Events,Ref: Events Release Time,Trade Result Screenshot,Lesson Learned,Actionable Steps,Trade Performance Summary
Trade #11,09/25/2024,2655.08,2662.73,0.3,2652.53,2662.73,229.5,WIN,3,135,,BUY,0.1,28.812691143016,2.55,,9,NY am,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21),September,Wednesday,100000,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),103088.59,10:30 am,229.5,,229.5,0,2.25,103088.59,100,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),,,,0,15m,100000.37,Prop Firms,,,,,,,,,,,Did Not Plan,,,,0,1,,,,,,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2655.08
Exit Price: $2662.73
P/L: $229.5
Trade Model: @Gap Guardian (Live)
Date: 09/25/2024"
Trade #12,09/26/2024,2667.21,2695.1,0.3,2657.95,2695.1,836.7,WIN,3.01,255,,BUY,0.35,104.566194637843,9.26,,17,NY am,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21),September,Thursday,100000,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),103925.29,9:30 am,836.7,,836.7,0,4.25,103925.29,100,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),,,,0,15m,100000.37,Prop Firms,,,,,,,,,,,Did Not Plan,,,,0,1,,,,,,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2667.21
Exit Price: $2695.1
P/L: $836.7
Trade Model: @Gap Guardian (Live)
Date: 09/26/2024"
Trade #13,10/01/2024,2661.45,2701.863,0.3,2648.041,2701.863,1212.39,WIN,3.01,1470,,BUY,0.5,151.845798343009,13.409,,98,NY am,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21),October,Tuesday,100000,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),105137.68,10:15 am,1212.39,,1212.39,0,24.5,105137.68,100,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),,,,0,15m,100000.37,Prop Firms,,,,,,,,,,,Did Not Plan,,,,0,1,,,,,,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2661.45
Exit Price: $2701.86
P/L: $1212.39
Trade Model: @Gap Guardian (Live)
Date: 10/01/2024"
Trade #14,10/02/2024,2644.599,2633.937,0.3,2633.937,2676.756,-319.86,LOSS,3.02,1335,,BUY,0.4,-40.31613110343,10.662,,89,NY am,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21),October,Wednesday,100000,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),104817.82,10:30 am,319.86,Early Exit (https://www.notion.so/Early-Exit-1a1b632af11080faa612c1c1eae166e1?pvs=21),0,-319.86,22.25,105137.68,100,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),,,,-0.003042296539,15m,100000.37,Prop Firms,,,,,,,,,,,Did Not Plan,,,,1,0,,,,,,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2644.6
Exit Price: $2633.94
P/L: $-319.86
Trade Model: @Gap Guardian (Live)
Date: 10/02/2024"
Trade #15,10/03/2024,2641.099,2661.338,0.3,2634.378,2661.338,607.17,WIN,3.01,1305,,BUY,0.25,76.630978240498,6.721,,87,NY am,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21),October,Thursday,100000,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),105424.99,10:00 am,607.17,,607.17,0,21.75,105424.99,100,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),,,,0,15m,100000.37,Prop Firms,,,,,,,,,,,Did Not Plan,,,,0,1,,,,,,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2641.1
Exit Price: $2661.34
P/L: $607.17
Trade Model: @Gap Guardian (Live)
Date: 10/03/2024"
Trade #16,10/08/2024,2641.721,2607.909,0.3,2652.992,2607.909,1014.36,WIN,3,105,,SELL,0.43,127.992320157958,11.271,,7,NY am,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21),October,Tuesday,100000,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),106439.35,9:45 am,1014.36,,1014.36,0,1.75,106439.35,100,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),,,,0,15m,100000.37,Prop Firms,,,,,,,,,,,Did Not Plan,,,,0,1,,,,,,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2641.72
Exit Price: $2607.91
P/L: $1014.36
Trade Model: @Gap Guardian (Live)
Date: 10/08/2024"
Trade #17,10/09/2024,2609.226,2604.673,0.3,2604.673,2622.9,-136.59,LOSS,3,1260,,BUY,0.17,-17.449619159092,4.553,,84,NY am,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21),October,Wednesday,100000,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),106302.76,10:30 am,136.59,Missed (https://www.notion.so/Missed-1a1b632af11080fca742d5878c9c4b07?pvs=21),0,-136.59,21,106439.35,100,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),,,,-0.00128326601,15m,100000.37,Prop Firms,,,,,,,,,,,Did Not Plan,,,,1,0,,,,,,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2609.23
Exit Price: $2604.67
P/L: $-136.59
Trade Model: @Gap Guardian (Live)
Date: 10/09/2024"
Trade #18,10/10/2024,2616.552,2653.152,0.3,2604.348,2653.152,1098,WIN,3,1395,,BUY,0.47,139.878741183053,12.204,,93,NY am,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21),October,Thursday,100000,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),107400.76,9:30 am,1098,,1098,0,23.25,107400.76,100,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),,,,0,15m,100000.37,Prop Firms,,,,,,,,,,,Did Not Plan,,,,0,1,,,,,,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2616.55
Exit Price: $2653.15
P/L: $1098
Trade Model: @Gap Guardian (Live)
Date: 10/10/2024"
Trade #19,10/15/2024,2654.106,2679.347,0.3,2645.685,2679.347,757.23,WIN,3,1035,,BUY,0.32,95.101702795593,8.421,,69,NY am,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21),October,Tuesday,100000,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),108157.99,10:30 am,757.23,,757.23,0,17.25,108157.99,100,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),,,,0,15m,100000.37,Prop Firms,,,,,,,,,,,Did Not Plan,,,,0,1,,,,,,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2654.11
Exit Price: $2679.35
P/L: $757.23
Trade Model: @Gap Guardian (Live)
Date: 10/15/2024"
Trade #20,10/16/2024,2680.396,2685.606,0.3,2685.606,2657.542,-156.3,LOSS,4.39,630,,SELL,0.19,-19.437426410127,5.21,,42,NY am,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21),October,Wednesday,100000,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),108001.69,10:15 am,156.3,Early Exit (https://www.notion.so/Early-Exit-1a1b632af11080faa612c1c1eae166e1?pvs=21),0,-156.3,10.5,108157.99,100,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),,,,-0.001445108216,15m,100000.37,Prop Firms,,,,,,,,,,,Did Not Plan,,,,1,0,,,,,,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2680.4
Exit Price: $2685.61
P/L: $-156.3
Trade Model: @Gap Guardian (Live)
Date: 10/16/2024"
Trade #21,10/17/2024,2686.247,2725.41,0.3,2673.214,2725.41,1174.89,WIN,3,1980,,BUY,0.49,145.790763098107,13.033,,132,NY am,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21),October,Thursday,100000,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),109176.58,10:00 am,1174.89,,1174.89,0,33,109176.58,100,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),,,,0,15m,100000.37,Prop Firms,,,,,,,,,,,Did Not Plan,,,,0,1,,,,,,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2686.25
Exit Price: $2725.41
P/L: $1174.89
Trade Model: @Gap Guardian (Live)
Date: 10/17/2024"
Trade #22,10/22/2024,2734.93,2751.956,0.3,2729.255,2751.956,510.78,WIN,3,870,,BUY,0.21,62.253878527056,5.675,,58,NY am,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21),October,Tuesday,100000,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),109687.36,10:00 am,510.78,,510.78,0,14.5,109687.36,100,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),,,,0,15m,100000.37,Prop Firms,,,,,,,,,,,Did Not Plan,,,,0,1,,,,,,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2734.93
Exit Price: $2751.96
P/L: $510.78
Trade Model: @Gap Guardian (Live)
Date: 10/22/2024"
Trade #23,10/23/2024,2740.663,2728.58,0.3,2744.69,2728.58,362.49,WIN,3,30,,SELL,0.15,44.087872168158,4.027,,2,NY am,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21),October,Wednesday,100000,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),110049.85,9:30 am,362.49,,362.49,0,0.5,110049.85,100,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),,,,0,15m,100000.37,Prop Firms,,,,,,,,,,,Did Not Plan,,,,0,1,,,,,,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2740.66
Exit Price: $2728.58
P/L: $362.49
Trade Model: @Gap Guardian (Live)
Date: 10/23/2024"
Trade #24,10/24/2024,2734.661,2721.237,0.3,2739.135,2721.237,402.72,WIN,3,1050,,SELL,0.16,49.088351353239,4.474,,70,NY am,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21),October,Thursday,100000,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),110452.57,10:00 am,402.72,,402.72,0,17.5,110452.57,100,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),,,,0,15m,100000.37,Prop Firms,,,,,,,,,,,Did Not Plan,,,,0,1,,,,,,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2734.66
Exit Price: $2721.24
P/L: $402.72
Trade Model: @Gap Guardian (Live)
Date: 10/24/2024"
Trade #25,10/29/2024,2753.808,2776.358,0.3,2746.29,2776.358,676.5,WIN,3,570,,BUY,0.27,81.886609378722,7.518,,38,NY am,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21),October,Tuesday,100000,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),111129.07,9:30 am,676.5,,676.5,0,9.5,111129.07,100,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),,,,0,15m,100000.37,Prop Firms,,,,,,,,,,,Did Not Plan,,,,0,1,,,,,,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2753.81
Exit Price: $2776.36
P/L: $676.5
Trade Model: @Gap Guardian (Live)
Date: 10/29/2024"
Trade #26,10/30/2024,2773.599,2760.93,0.3,2760.93,2811.626,-380.07,LOSS,3,1350,,BUY,0.46,-45.677114824457,12.669,,90,NY am,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21),October,Wednesday,100000,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),110749,9:30 am,380.07,Missed (https://www.notion.so/Missed-1a1b632af11080fca742d5878c9c4b07?pvs=21),0,-380.07,22.5,111129.07,100,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),,,,-0.003420077213,15m,100000.37,Prop Firms,,,,,,,,,,,Did Not Plan,,,,1,0,,,,,,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2773.6
Exit Price: $2760.93
P/L: $-380.07
Trade Model: @Gap Guardian (Live)
Date: 10/30/2024"
Trade #27,10/31/2024,2762.247,2735.954,0.3,2771.011,2735.954,788.79,WIN,3,60,,SELL,0.32,95.186998121457,8.764,,4,NY am,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21),October,Thursday,100000,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),111537.79,9:45 am,788.79,,788.79,0,1,111537.79,100,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),,,,0,15m,100000.37,Prop Firms,,,,,,,,,,,Did Not Plan,,,,0,1,,,,,,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2762.25
Exit Price: $2735.95
P/L: $788.79
Trade Model: @Gap Guardian (Live)
Date: 10/31/2024"
Trade #28,11/05/2024,2748.504,2740.714,0.3,2751.103,2740.714,233.7,WIN,3,210,,SELL,0.09,28.342691151259,2.599,,14,NY am,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21),November,Tuesday,100000,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),111771.49,9:45 am,233.7,,233.7,0,3.5,111771.49,100,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),,,,0,15m,100000.37,Prop Firms,,,,,,,,,,,Did Not Plan,,,,0,1,,,,,,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2748.5
Exit Price: $2740.71
P/L: $233.7
Trade Model: @Gap Guardian (Live)
Date: 11/05/2024"
Trade #29,11/06/2024,2670.796,2683.942,0.3,2683.942,2633.33,-394.38,LOSS,2.85,1230,,SELL,0.49,-49.221280846609,13.146,,82,NY am,XAUUSD (https://www.notion.so/XAUUSD-199b632af110810a99e4fc7d09193617?pvs=21),November,Wednesday,100000,Prop Firms (https://www.notion.so/Prop-Firms-199b632af110810282c0fd949b38d647?pvs=21),111377.11,11:00 am,394.38,Early Entry (https://www.notion.so/Early-Entry-1a1b632af110805499f7c17992bbf066?pvs=21),0,-394.38,20.5,111771.49,100,Gap Guardian (Live) (https://www.notion.so/Gap-Guardian-Live-199b632af11081df960fc988a6c3ac8d?pvs=21),,,,-0.003528448981,15m,100000.37,Prop Firms,,,,,,,,,,,Did Not Plan,,,,1,0,,,,,,"📊 Trade Performance Summary
Symbol: @XAUUSD
Entry Price: $2670.8
Exit Price: $2683.94
P/L: $-394.38
Trade Model: @Gap Guardian (Live)
Date: 11/06/2024"
